node;memory size;create time; destroy time
0;32;120711;26221
1;32;79574;27077
2;32;79391;29548
3;32;85454;36010
4;32;80148;26418
5;32;79290;28681
6;32;80883;27103
7;32;79958;28310
0;64;80067;37080
1;64;79873;38220
2;64;80404;43334
3;64;80752;55732
4;64;79875;39149
5;64;79659;41305
6;64;80119;39202
7;64;80296;41846
0;128;81042;59531
1;128;81058;60847
2;128;80021;71898
3;128;80627;96769
4;128;81495;64105
5;128;81297;66319
6;128;81004;63537
7;128;81456;68598
0;256;82869;101432
1;256;82190;104538
2;256;83765;126552
3;256;82515;176208
4;256;82544;109249
5;256;83196;115864
6;256;83333;109337
7;256;83958;117250
0;512;86758;184093
1;512;86823;190831
2;512;86651;232689
3;512;86586;335031
4;512;86193;199067
5;512;87081;212549
6;512;86599;199743
7;512;87801;216094
0;1024;93659;349397
1;1024;93589;360331
2;1024;94027;445389
3;1024;94180;648213
4;1024;95469;379582
5;1024;95030;404773
6;1024;94557;379876
7;1024;95277;413356
0;2048;107571;676867
1;2048;109224;699675
2;2048;110265;875631
3;2048;110765;1275246
4;2048;110235;743437
5;2048;111309;790976
6;2048;110272;743279
7;2048;111939;803381
0;4096;140400;1337311
1;4096;138742;1389047
2;4096;140189;1723758
3;4096;141881;2530361
4;4096;141023;1463042
5;4096;144153;1567391
6;4096;141194;1472149
7;4096;144759;1591911
0;8192;201189;2645895
1;8192;197709;2751623
2;8192;201450;3429537
3;8192;207679;5054489
4;8192;202882;2916975
5;8192;206852;3122156
6;8192;202124;2926376
7;8192;208355;3155332
0;16384;331491;5385283
1;16384;337952;5483089
2;16384;339054;6846112
3;16384;347429;10049048
4;16384;338464;5785676
5;16384;349028;6211927
6;16384;340445;5831418
7;16384;354020;6268887
